35,35,5
21,21,19
16,20,6
10,18,10
25,21,2
16,5,46
35,5,2
27,11,6
15,18,4
11,2,2
18,28,2
3,3,13
5,2,30
29,4,4
1,5,2
22,5,14
17,17,3
31,35,10
18,19,2
22,2,2
5,20,12
1,1,1
29,15,4
11,11,17
8,5,4
8,11,2
31,4,6
16,6,6
13,9,12
8,8,5
20,28,2
7,4,2
24,24,5
18,6,6
33,33,4
31,12,2
24,5,2
7,24,6
5,23,18
29,11,2
15,27,4
15,23,6
29,7,2
5,5,220
27,4,24
31,5,8
28,12,2
2,18,16
30,23,10
8,26,2
16,12,2
15,10,2
19,19,1
15,5,36
29,2,2
13,23,2
2,21,8
15,20,10
0,0,1
29,33,4
16,32,2
5,26,6
27,10,6
0,5,2
11,6,4
16,18,4
25,25,6
10,25,2
11,16,2
15,13,2
5,14,2
16,21,2
11,10,6
9,9,6
15,16,6
4,4,37
29,29,8
33,4,2
28,28,13
10,2,14
5,28,16
16,2,4
26,26,14
21,6,6
2,6,14
3,20,4
27,2,4
9,5,6
11,5,10
33,25,6
18,21,4
4,6,4
29,26,2
29,25,4
33,10,2
29,10,4
2,4,22
20,20,42
27,18,2
15,11,4
11,26,2
13,11,4
24,25,2
18,18,33
15,28,4
14,14,10
33,24,2
15,8,4
7,25,2
34,34,1
10,5,26
12,12,17
7,31,2
31,24,2
15,2,2
4,21,10
15,15,47
30,30,10
22,22,3
10,4,10
13,13,13
10,10,29
4,26,2
7,5,4
23,23,74
2,14,2
16,16,36
15,3,16
11,18,12
29,18,12
5,21,10
16,28,2
5,18,18
26,18,8
26,21,2
2,2,56
27,5,4
2,17,4
7,26,2
9,23,2
10,16,14
26,17,2
34,2,2
6,6,16
29,5,4
31,16,4
13,5,10
22,23,2
29,27,2
31,31,23
33,27,2
11,4,6
15,4,6
5,4,4
7,7,7
4,18,10
11,19,2
4,25,6
27,27,16
27,26,2
10,17,2
20,6,4
32,32,1
5,12,8
